chapter,title,problem,answer
2-1,짝수만,"if문을 사용해, 정수를 입력으로 받아 짝수라면  ""even""을 출력하는 코드를 작성해 보세요.\n입력 값: 214693842",even
2-1,끝 글자가 o,"if문을 사용해, 영단어를 입력으로 받아 끝 글자가 o라면 입력받은 단어를 그대로 출력하는 코드를 작성해 보세요.\n입력 값: potato",potato
2-2,짝수만 (2),"if문을 사용해, 조건에 등호(==)를 넣지 않으면서, 정수를 입력으로 받아 짝수라면 ""even""을 출력하는 코드를 작성해 보세요.\n입력 값: 120948575",
2-2,7의 배수 또는 11의 배수,"if문을 하나만 사용해, 정수를 입력으로 받아 7의 배수이거나 11의 배수라면 ""valid""를 출력하는 코드를 작성해 보세요.\n입력 값: 14262423",valid
2-2,거짓이면 출력,"if문을 사용해, 조건에 등호(==)를 넣지 않으면서, 임의의 값을 입력으로 받아 이가 False로 변환이 된다면 ""This is False""를 출력하는 코드를 작성해 보세요.\n입력 값: 0",This is False
2-2,리스트에 있으면,"if문을 사용해, 입력받은 값이 다음 리스트에 있으면 입력받은 값을 출력하고, 그 뒤에 이어서 "" is in the list""를 출력하세요.\n리스트: [""0"", ""diamond"", ""pivot"", ""fish"", ""neptune"", ""-15""]\n예시: 0 → 0 is in the list\n입력 값: fish",fish is in the list
2-3,짝수와 홀수,"if-else문을 사용해, 정수를 입력으로 받아 짝수라면 ""even"", 홀수라면 ""odd""를 출력하는 코드를 작성해 보세요.\n입력 값: 134089571",odd
2-3,달의 날 수,"월의 숫자(1~12)를 입력으로 받아 그 달의 날 수를 출력하는 코드를 작성해 보세요(2월은 28일까지 있는 것으로 간주합니다).\n입력 값: 7",31
2-3,입장료와 행사,"어느 박물관은 입장료를 7세부터 17세까지는 1000원, 18세부터 65세까지는 2000원 받으며, 나머지는 입장료를 받지 않습니다. 그런데 오늘만큼은 입장료를 받는 사람이라도 나이에 4가 들어간다면 입장료를 500원만 받는 행사를 하려 합니다. 나이(정수)를 입력으로 받아 입장료를 출력하는 코드를 작성해 보세요.\n입력 값: 41",500
2-3,신상 카드 보관함,"당신은 어느 시설의 관리인으로 회원들의 신상 정보 카드를 보유하고 있습니다. 마침 보관함이 생겨서 보관함들에 알파벳 하나씩을 붙이고, 카드들을 사람 이름의 첫 글자에 따라 해당하는 보관함에 보관하려 합니다. 다만 보관함 수를 줄이고자 Q로 시작하는 것은 P와 함께, X, Y, Z로 시작하는 것은 W와 함께 보관하려 하고, 또 S로 시작하는 것이 많아서 두 번째 글자가 A부터 M까지인지, N부터 Z까지인지에 따라 반을 나누기로 했습니다. 이들 보관함에는 각각 PQ, WXYZ, Sa-Sm, Sn-Sz라는 이름을 붙이기로  했습니다.\n다음 인명의 목록에서, 각 사람에 해당하는 보관함의 이름을 출력하는 코드를 작성해 보세요.\n입력 값: Sven\n\n사용을 추천하는 함수: ord() - 문자의 코드값을 출력합니다. 대문자는 ""A""부터 65로, 소문자는 ""a""부터 97로 시작합니다.\n--------\n캐비닛 이름 예시\n--------\nAlbert	| A\nIvan 	| I\nPenn 	| PQ\nSimpson	| Sa-Sm\nUlysses	| U\nYves 	| WXYZ\n--------",Sn-Sz
3-1,홀수가 나올 때까지,"정수를 입력으로 받아, 홀수가 나올 때까지 2로 나눈 다음 그 홀수를 출력하는 코드를 작성해 보세요.\n입력 값: 2378956",594739
3-1,합계,"while문을 이용해, 다음 주어진 리스트 안의 수의 합을 구하는 코드를 작성해 보세요.\n리스트: [312983, 124890, 157328, -198242, 589237, 192038, -235203, 182094, 209024, 179943, 441259, -91547]",1863804
